ID,Name,Category,Price Tier,Neighborhood,Opening Hours,Closing Hours,Average Rating,Good for Kids
98,Elegant Joint,Mediterranean,Cheap,Upper West Side,11:30,22:30,3,True
99,Royal Brewpub,Chinese,Expensive,Hunts Point,11:00,19:00,2,False
100,Quaint Chophouse,Chinese,Expensive,Greenpoint,12:30,18:00,0,False
101,Orchid Alehouse,Indian,Medium,Greenpoint,11:30,21:30,4,True
102,Savory Distillery,Thai,Expensive,Eltingville,09:00,18:00,2,False
103,Spicy Sushi Bar,American,Cheap,Soundview,09:30,17:00,5,False
104,Retro Tapas Bar,Japanese,Expensive,St. George,10:30,18:30,2,True
105,Tropical Diner,Indian,Expensive,SoHo,12:30,21:30,5,False
106,Oceanfront Juice Bar,Mexican,Expensive,Chelsea,11:00,17:30,5,False
107,Brick Oven Vietnamese Restaurant,Indian,Medium,Bedford-Stuyvesant,08:00,15:30,3,True
108,Classic Bakery Cafe,Italian,Cheap,Annadale,08:30,23:30,2,False
109,Juicy Taphouse,Italian,Cheap,Lower East Side,12:00,21:00,3,True
110,Charming Bakery Cafe,Chinese,Cheap,Lower East Side,12:30,21:30,3,False
111,Zesty Speakeasy,Indian,Cheap,Crown Heights,09:30,23:00,4,False
112,Authentic Smoothie Shop,Mexican,Expensive,Woodside,12:30,18:30,4,True
113,Golden Harvest Bistro,Mediterranean,Expensive,St. George,12:30,23:30,1,True
114,Vintage Cafeteria,Thai,Expensive,Morris Park,12:00,19:30,2,False
115,Quaint Cantina,Chinese,Cheap,Upper East Side,11:00,21:30,4,False
116,Foggy Cafe,Mexican,Expensive,Greenwich Village,11:00,22:30,3,True
117,Sandy Beach Kitchen,Mexican,Cheap,Mott Haven,08:00,14:30,1,False
118,Wholesome Parlor,American,Cheap,Prospect Heights,09:00,15:30,2,False
119,Palatable Brasserie,Indian,Cheap,Prospect Heights,08:00,20:00,3,False
120,Aromatic Steakhouse,Thai,Medium,Woodside,11:30,21:30,2,True
121,Palatable Chophouse,Indian,Cheap,Upper West Side,09:00,19:00,0,False
122,Zesty Court,American,Cheap,Throgs Neck,10:30,18:00,2,True
123,Savory Tapas Bar,Chinese,Medium,Greenpoint,09:30,19:30,2,True
124,Homestyle Coffeehouse,Italian,Medium,Pelham Bay,11:00,18:00,0,False
125,Family Cantina,French,Medium,Greenwich Village,09:00,19:00,0,False
126,Spicy Smoothie Bar,French,Medium,Greenpoint,11:00,23:00,4,False
127,Urban Kitchenette,American,Medium,Flatbush,10:00,17:00,2,False
128,Foggy Kitchenette,Mexican,Cheap,Harlem,10:30,19:30,4,True
129,Classic Grill,Japanese,Medium,Midtown Manhattan,08:30,19:30,2,True
130,Sunset Parlor,Chinese,Medium,Brooklyn Heights,11:30,18:00,0,False
131,Aromatic Bagel Shop,Japanese,Expensive,Fordham,10:30,22:30,0,True
132,Flavorful Pub,Mexican,Medium,Jamaica,10:00,21:00,4,True
133,Hearty Tiki Bar,Japanese,Medium,Park Slope,09:00,17:00,5,False
134,Bamboo Grove Cantina,Thai,Cheap,Astoria,12:30,22:00,1,False
135,Sapphire Doughnut Shop,French,Medium,Long Island City,08:00,16:00,5,True
136,Coconut Cove Oyster Bar,Japanese,Medium,Greenwich Village,08:00,23:30,1,False
137,Sunny Kitchen,Japanese,Cheap,Greenpoint,12:00,20:30,5,True
138,Golden Harvest Ice Cream Parlor,French,Expensive,Lower East Side,12:30,21:30,4,False
139,Wholesome Taco Shack,Japanese,Cheap,Chelsea,08:00,15:30,0,True
140,Flavorful Parlor,Thai,Expensive,Greenwich Village,10:00,17:30,0,True
141,Lakefront Sushi Bar,Italian,Cheap,Mott Haven,11:30,17:00,0,False
142,Gourmet Joint,Japanese,Cheap,Throgs Neck,09:30,15:30,4,False
143,Zesty Juice Bar,French,Medium,Harlem,12:00,19:00,4,True
144,Foggy Brasserie,Thai,Expensive,Astoria,08:00,21:00,1,True
145,Hearty Noodle House,French,Cheap,Riverdale,08:30,19:30,0,False
146,Moonlight Alehouse,Chinese,Expensive,Tribeca,08:30,20:00,5,True
147,Savory Chocolate Shop,Thai,Expensive,Throgs Neck,11:00,22:30,4,False
148,Pineapple Inn,Italian,Medium,Flushing,08:30,15:30,2,False
149,Zesty Pub,Indian,Cheap,Midtown Manhattan,11:00,17:30,3,True
150,Flavorful Dessert Bar,Mediterranean,Expensive,Annadale,09:00,21:30,3,False
151,Firehouse Hideaway,Chinese,Cheap,Hunts Point,12:00,21:30,1,False
152,Rustic Sushi Bar,American,Cheap,Forest Hills,09:30,16:00,5,False
153,Sapphire Juice Joint,Chinese,Cheap,Tompkinsville,12:30,23:00,4,True
154,Rustic Parlor,Indian,Medium,Crown Heights,10:00,18:00,0,False
155,Aromatic Steakhouse,American,Expensive,New Dorp,11:30,17:30,2,True
156,Spicy Taphouse,French,Medium,Ridgewood,09:30,20:30,4,True
157,Crisp Brasserie,Japanese,Medium,Great Kills,09:00,17:00,2,False
158,Golden Harvest Chocolate Shop,Japanese,Medium,Jamaica,10:00,23:00,4,False
159,Gourmet Deli,Mediterranean,Medium,Astoria,08:00,18:00,5,True
160,Fusion Eatery,Chinese,Medium,Bedford-Stuyvesant,10:00,20:00,2,False
161,Highlands Brasserie,Thai,Cheap,Upper East Side,10:30,21:30,4,False
162,Rainforest Bar & Grill,French,Cheap,Williamsburg,11:00,18:30,4,False
163,Oceanfront Cantina,Thai,Cheap,Harlem,10:30,19:00,3,True
164,Hilltop Brewpub,Thai,Medium,Jackson Heights,08:00,18:00,4,True
165,Oceanic Deli,Indian,Cheap,Jackson Heights,12:30,18:00,0,True
166,Family Diner,Thai,Medium,Harlem,09:00,20:00,5,True
167,Sweet Pea Noodle House,Indian,Cheap,SoHo,12:00,18:30,2,False
168,Oceanic Seafood Shack,Thai,Medium,Lower East Side,12:30,20:30,0,True
169,Coastal Vineyard,Indian,Cheap,Pelham Bay,08:00,16:00,0,False
170,Sensational Speakeasy,Indian,Medium,Woodside,10:00,18:30,0,False
171,Wholesome Boulangerie,Chinese,Cheap,Upper East Side,09:30,15:30,0,False
172,Tender Taco Shack,Italian,Expensive,Midtown Manhattan,09:00,18:00,5,False
173,Savor Frozen Yogurt Shop,French,Expensive,Great Kills,08:30,14:00,0,False
174,Rainforest Ice Cream Parlor,Chinese,Cheap,Greenpoint,12:30,21:30,0,False
175,Underground Cookie Shop,Italian,Cheap,Chelsea,09:00,15:00,1,True
176,Golden Harvest Cuisine,French,Expensive,Chelsea,09:00,16:00,4,False
177,Zesty Creamery,French,Expensive,Greenpoint,12:30,19:30,2,False
178,Highlands Kitchen,Japanese,Expensive,Long Island City,12:00,22:00,0,True
179,Serenity Brewery,American,Cheap,Tottenville,12:30,23:30,1,False
180,Highlands Pub,Italian,Medium,Brooklyn Heights,12:30,23:00,1,False
181,Maplewood Winery,Mexican,Medium,Greenwich Village,09:30,19:00,4,False
182,Gourmet Chophouse,American,Cheap,Eltingville,08:00,19:00,1,False
183,Vintage Vietnamese Restaurant,American,Expensive,Bushwick,09:30,23:00,5,True
184,Golden Harvest Burger Joint,Mexican,Medium,Hunts Point,11:00,17:00,4,False
185,Sweet Pea Chocolate Shop,Thai,Medium,Jackson Heights,12:30,19:30,3,False
186,Pineapple Court,Italian,Expensive,Jackson Heights,09:30,15:00,5,False
187,Royal Palace,American,Cheap,Stapleton,11:00,20:30,1,True
188,Savor Sushi Bar,American,Expensive,Flatbush,08:30,18:30,2,True
189,Charming Cantina,Italian,Medium,Fordham,08:00,19:00,0,False
190,Sunset Whiskey Bar,Indian,Cheap,Williamsburg,10:00,17:30,2,False
191,Spicy Inn,Thai,Medium,Eltingville,08:30,21:00,5,True
192,Scrumptious Joint,Mediterranean,Cheap,Greenpoint,12:00,23:30,3,True
193,Gastronomic Vineyard,Japanese,Cheap,Upper West Side,10:30,18:00,3,False
194,Delicious Cafeteria,Mexican,Medium,Great Kills,08:00,20:00,2,False
195,Wholesome Taproom,Italian,Medium,Pelham Bay,12:00,18:00,5,False
196,Valley Kitchen,American,Expensive,Jackson Heights,11:30,20:30,3,True
197,Tender Vietnamese Restaurant,Japanese,Expensive,Westerleigh,10:00,17:00,2,True
198,Spicy Tiki Bar,Italian,Expensive,Harlem,10:30,16:00,0,True
199,Crisp Grill & Bar,American,Medium,Midtown Manhattan,08:30,15:30,5,True
200,Urban Diner,Chinese,Expensive,Greenwich Village,09:30,17:00,2,True
201,Sensational Court,Japanese,Medium,Upper East Side,09:00,20:30,0,True
202,Fresh Cafeteria,Italian,Cheap,Tottenville,09:30,16:00,3,False
203,Zesty Court,Indian,Medium,Upper East Side,09:00,15:30,2,True
204,Savory Alehouse,Thai,Medium,Harlem,08:00,15:00,1,True
205,Delicious Juice Bar,Italian,Expensive,Bedford-Stuyvesant,08:00,23:00,1,False
206,Juicy Tapas Bar,Chinese,Cheap,Ridgewood,12:30,19:30,1,False
207,Sizzling Cantina,Indian,Medium,Greenpoint,10:30,17:30,1,False
208,Quaint Noodle House,Mexican,Medium,Morris Park,10:00,23:30,2,True
209,Retro Bakery Cafe,Indian,Medium,Morris Park,12:30,21:00,5,False
210,Quaint Boulangerie,Indian,Cheap,Lower East Side,11:00,23:00,4,True
211,Fresh Gelato Shop,Italian,Expensive,Greenpoint,12:30,22:30,0,False
212,Moonlight Donut Store,Mexican,Cheap,Forest Hills,10:00,16:00,4,True
213,Savory Diner,Mexican,Expensive,Tompkinsville,11:00,23:00,0,False
214,Moonlight Joint,Indian,Cheap,Lower East Side,12:00,23:00,5,False
215,Tasty Kitchen,Japanese,Cheap,Harlem,09:30,22:30,4,True
216,Classic Grill & Bar,American,Medium,Woodside,08:00,20:00,5,True
217,Mouthwatering Wine Bar,Thai,Cheap,Astoria,08:30,20:00,5,False
218,Retro Cookie Shop,Mediterranean,Expensive,SoHo,11:00,19:00,4,True
219,Fresh Taphouse,Chinese,Cheap,Flushing,11:30,19:30,1,False
220,Tasty Lounge,Indian,Expensive,Upper West Side,12:30,20:30,3,False
221,Zen Court,Mexican,Cheap,Annadale,08:00,15:00,4,True
222,Zesty Doughnut Shop,French,Expensive,Belmont,11:00,18:00,1,False
223,Rustic Kitchen,Indian,Cheap,Throgs Neck,12:00,18:30,5,True
224,Homestyle Cocktail Lounge,Japanese,Expensive,Lower East Side,12:30,21:30,0,False
225,Sunny Frozen Yogurt Shop,Mexican,Expensive,Flatbush,09:30,23:30,1,True
226,Tasty Gastropub,Mexican,Cheap,Lower East Side,12:00,22:30,3,True
227,Exquisite Taco Shack,American,Expensive,Stapleton,08:00,17:30,0,True
228,Zen Eatery,Mexican,Cheap,Lower East Side,11:30,19:00,1,True
229,Aromatic House,Japanese,Medium,Lower East Side,08:30,22:00,1,False
230,Fresh Chophouse,Mexican,Cheap,Annadale,11:00,21:30,1,True
231,Delicious Kitchenette,Thai,Medium,Park Slope,08:30,22:30,5,False
232,Countryside Boulangerie,Mediterranean,Expensive,Annadale,12:00,21:30,0,False
233,Foggy Gastropub,Chinese,Expensive,Flushing,12:30,20:00,2,False
234,Golden Gate Yogurt Shop,Indian,Medium,Greenpoint,08:00,19:00,4,False
235,Delicious Parlor,Japanese,Expensive,Mott Haven,09:00,16:00,2,True
236,Sweet Pea Cider House,Thai,Medium,Tottenville,10:00,21:30,4,True
237,Summit Pub,Japanese,Expensive,Long Island City,10:00,17:00,5,False
238,Exquisite Creamery,Thai,Expensive,Great Kills,11:30,23:00,1,False
239,Sizzle Cake Shop,Mexican,Expensive,Greenpoint,12:30,18:30,0,True
240,Brick Oven Smokehouse,American,Cheap,Westerleigh,10:00,16:00,4,True
241,Golden Harvest Donut Store,Italian,Expensive,Park Slope,08:00,21:00,3,True
242,Fusion Oyster House,Indian,Cheap,Greenwich Village,12:30,20:30,4,True
243,Gourmet Pub,Mexican,Cheap,Flatbush,12:00,19:30,3,False
244,Maplewood Smoothie Shop,Mexican,Medium,SoHo,11:00,23:30,5,False
245,Yummy Wine Bar,Japanese,Medium,Riverdale,12:30,19:30,4,True
246,Palm Tree Candy Store,French,Expensive,Flushing,09:30,15:30,0,False
247,Hearty Candy Store,Chinese,Expensive,Ridgewood,08:00,18:00,0,True
248,Elegant Wine Bar,Indian,Medium,Tottenville,09:00,21:00,1,False
249,Irresistible Parlor,Chinese,Expensive,Bushwick,10:00,19:00,1,False
250,Gastronomic Yogurt Shop,Mexican,Cheap,Forest Hills,08:00,23:00,3,False
251,Savory Sushi Bar,Mexican,Cheap,Flushing,09:30,19:30,0,False
252,Moonshine Dessert Bar,American,Expensive,Tottenville,12:00,23:00,0,False
253,Crisp Smoothie Shop,Italian,Cheap,Hunts Point,09:30,23:30,0,False
254,Tender Eatery,Mexican,Cheap,Tribeca,11:00,17:00,2,False
255,Zesty Bakery,Chinese,Medium,St. George,11:30,22:00,1,True
256,Sapphire Lodge,Mexican,Cheap,Williamsburg,09:00,23:00,3,False
257,Family Diner,Mediterranean,Medium,Sunnyside,08:30,20:00,3,False
258,Coconut Cove Frozen Yogurt Shop,Mexican,Cheap,Tompkinsville,10:00,17:00,0,True
259,Highlands House,Mediterranean,Cheap,Upper West Side,11:00,20:00,1,False
260,Orchid Pub,French,Cheap,Soundview,10:30,17:30,4,True
261,Aromatic Brasserie,Indian,Expensive,Brooklyn Heights,08:00,14:30,3,True
262,Gastronomic Ramen House,Mexican,Medium,Forest Hills,11:00,21:30,0,True
263,Classic Cider House,French,Expensive,Eltingville,10:00,18:00,5,True
264,Zesty Pub,American,Medium,Soundview,10:30,19:00,3,True
265,Scrumptious Grill & Bar,French,Expensive,Fordham,10:00,20:00,2,True
266,Foggy Pizzeria,Mediterranean,Cheap,Hunts Point,12:30,22:00,5,False
267,Lakefront Cocktail Lounge,French,Expensive,Prospect Heights,12:00,18:30,5,False
268,Seaside Cafeteria,Italian,Cheap,Morris Park,12:30,20:00,3,False
269,Lakefront Tea Room,Mexican,Cheap,Greenwich Village,10:30,19:00,5,True
270,Tasty Steakhouse,Indian,Expensive,Sunnyside,11:00,23:30,5,True
271,Authentic Palace,French,Expensive,Williamsburg,09:30,15:00,4,False
272,Urban Grill & Bar,Thai,Medium,SoHo,08:30,17:00,0,True
273,Rustic Yogurt Shop,Thai,Cheap,Morris Park,10:00,21:00,4,False
274,Palatable Hideaway,Indian,Cheap,Jackson Heights,12:30,22:30,1,False
275,Spice Route Eatery,Chinese,Expensive,Greenpoint,09:30,22:30,2,False
276,Sunny Tearoom,Mediterranean,Medium,Mott Haven,08:00,23:30,2,False
277,Bamboo Grove Cider House,Mexican,Medium,New Dorp,11:30,23:30,4,False
278,Divine Dive Bar,Mediterranean,Medium,St. George,10:30,17:00,1,False
279,Quaint Joint,Japanese,Cheap,Woodside,10:00,21:30,3,True
280,Sizzling Cantina,French,Cheap,Pelham Bay,12:00,23:30,5,False
281,Zen Bistro,Thai,Cheap,New Dorp,12:30,22:00,3,True
282,Coastal Brewery,Thai,Expensive,Flatbush,11:00,19:00,0,True
283,Under the Stars Deli,Mexican,Cheap,Soundview,08:30,17:30,2,True
284,Golden Gate Cider House,Italian,Medium,Fordham,11:30,23:30,0,True
285,Coastal Place,Mexican,Expensive,Astoria,08:30,15:00,3,True
286,Elegant Cuisine,Mexican,Expensive,Stapleton,08:00,16:00,2,False
287,Blue Bayou Dessert Bar,Indian,Medium,Throgs Neck,10:00,19:30,5,True
288,Highlands Seafood Shack,Indian,Medium,Eltingville,10:30,21:30,1,True
289,Under the Stars Cuisine,American,Expensive,Sunnyside,08:00,18:30,3,True
290,Gourmet Court,Indian,Expensive,Chelsea,10:30,23:30,5,False
291,Fusion Candy Store,American,Medium,Mott Haven,11:30,18:30,2,True
292,Satisfying Steakhouse,Thai,Medium,Harlem,10:00,22:30,4,False
293,Heavenly BBQ Joint,Indian,Cheap,Fordham,11:30,22:00,4,True
294,Zesty Cantina,Italian,Expensive,Pelham Bay,10:30,16:30,3,False
295,Sizzling Oyster House,Indian,Medium,Ridgewood,08:30,20:30,2,True
296,Spicy Crepery,French,Cheap,St. George,08:00,17:00,2,True
297,Seaside Bar & Grill,American,Expensive,Greenpoint,10:00,23:00,4,False
298,Serenity Doughnut Shop,Thai,Expensive,Jackson Heights,09:00,16:30,1,True
299,Island Cake Shop,Chinese,Cheap,Astoria,12:30,22:30,0,False
300,Sizzling Tavern,Japanese,Cheap,Sunnyside,12:30,22:00,0,True
301,Gourmet Grill & Bar,Italian,Cheap,Morris Park,08:30,19:30,5,True
302,Irresistible Tearoom,Mexican,Expensive,Mott Haven,09:30,19:30,0,False
303,Urban Pub,French,Expensive,Eltingville,10:00,22:00,4,True
304,Rustic Eatery,Mexican,Expensive,Upper East Side,08:00,18:00,0,True
305,Sapphire Tea Room,Thai,Cheap,Ridgewood,09:30,16:00,1,False
306,Vintage Speakeasy,Thai,Expensive,Fordham,10:30,18:30,2,False
307,Rooftop Taphouse,Mexican,Medium,Great Kills,12:00,18:00,0,False
308,Oceanic Lounge,Thai,Medium,Greenwich Village,08:30,23:30,0,True
309,Tasty Joint,French,Expensive,Williamsburg,09:00,16:00,4,False
310,Hearty Creamery,Mexican,Cheap,Soundview,08:30,19:00,1,True
311,Tender Dessert Bar,Italian,Expensive,Greenwich Village,08:30,19:30,4,True
312,Coastal Restaurant,Thai,Cheap,SoHo,11:30,19:30,2,False
313,Firehouse Cantina,Italian,Cheap,Stapleton,09:30,19:30,3,False
314,Bamboo Grove Sushi Bar,Chinese,Medium,Lower East Side,11:00,17:00,3,True
315,Harbor View Spot,Thai,Expensive,Sunnyside,12:30,21:30,5,True
316,Gastronomic Juice Joint,Thai,Expensive,Tribeca,12:30,18:00,0,False
317,Golden Gate Pizzeria,Indian,Medium,Bedford-Stuyvesant,08:30,19:00,1,True
318,Quaint Cereal Bar,Thai,Cheap,Long Island City,11:00,20:30,1,False
319,Sapphire Ramen House,Thai,Expensive,New Dorp,12:30,21:30,3,True
320,Palatable Kitchenette,American,Medium,Jackson Heights,12:30,23:30,2,True
321,Oceanfront Pub,Thai,Cheap,Fordham,10:00,22:30,4,False
322,Serenity Brasserie,Indian,Medium,Jamaica,09:00,23:00,5,False
323,Irresistible Chophouse,Thai,Cheap,Upper East Side,08:30,20:00,3,False
324,Fusion Pizzeria,Italian,Medium,Soundview,11:30,23:30,5,True
325,Sizzling Taproom,Japanese,Expensive,Jackson Heights,12:00,20:30,3,True
326,Delicious Tea Room,American,Medium,Flatbush,11:30,23:00,3,True
327,Fresh Tearoom,Mediterranean,Medium,Upper West Side,12:30,19:30,3,False
328,Mouthwatering Coffeehouse,French,Cheap,Ridgewood,11:30,17:00,0,False
329,Spicy Cookie Shop,French,Cheap,Chelsea,11:30,23:00,2,False
330,Gourmet Kitchen,Chinese,Expensive,Eltingville,11:00,19:30,2,True
331,Pineapple Brewpub,Japanese,Medium,St. George,12:00,18:30,3,False
332,Vintage Court,Thai,Medium,Jackson Heights,12:00,23:30,1,True
333,Savory Gelato Shop,Japanese,Medium,Greenwich Village,11:00,18:30,0,True
334,Aromatic Gastropub,French,Medium,Westerleigh,10:00,23:30,0,True
335,Spice Route Cantina,Chinese,Cheap,Forest Hills,12:30,20:00,3,True
336,Charming Alehouse,American,Medium,Astoria,10:00,22:00,1,True
337,Highlands Lodge,Mediterranean,Expensive,Greenpoint,10:00,22:00,5,False
338,Delicious Noodle House,Italian,Cheap,Chelsea,11:00,17:00,3,False
339,Charming Spot,Mexican,Medium,Lower East Side,12:30,22:00,4,False
340,Golden Gate Bakery Cafe,Italian,Cheap,SoHo,12:00,22:00,5,True
341,Lakefront Place,French,Cheap,Bushwick,08:30,21:00,0,True
342,Valley Joint,American,Cheap,Eltingville,12:30,19:30,5,False
343,Oceanfront Cafeteria,Mexican,Medium,Astoria,09:30,23:00,0,False
344,Cherry Blossom Cafe,Mediterranean,Cheap,Flushing,08:30,19:00,3,False
345,Vintage Deli,French,Cheap,Flushing,10:30,17:00,3,False
346,Highlands Grill & Bar,Japanese,Medium,Chelsea,09:00,16:00,2,True
